enrollment_id,code_module,code_presentation,imd_band,num_of_prev_attempts,studied_credits,final_result,id_student
162,AAA,2013J,50-60%,0,60,Pass,342514
163,AAA,2013J,0-10%,0,60,Pass,342972
164,AAA,2013J,70-80%,0,120,Pass,343446
165,AAA,2013J,10-20,0,60,Fail,344282
166,AAA,2013J,60-70%,0,180,Pass,345068
167,AAA,2013J,30-40%,0,60,Distinction,345357
168,AAA,2013J,50-60%,0,120,Pass,346025
169,AAA,2013J,50-60%,0,120,Fail,346843
170,AAA,2013J,80-90%,0,60,Pass,350188
171,AAA,2013J,90-100%,0,120,Withdrawn,354858
172,AAA,2013J,10-20,0,60,Fail,357668
173,AAA,2013J,70-80%,0,60,Fail,364177
174,AAA,2013J,0-10%,0,120,Pass,365244
175,AAA,2013J,10-20,0,60,Pass,365642
176,AAA,2013J,40-50%,0,60,Pass,366483
177,AAA,2013J,50-60%,0,120,Pass,368194
178,AAA,2013J,50-60%,0,120,Fail,368824
179,AAA,2013J,0-10%,0,180,Pass,368963
180,AAA,2013J,,0,60,Distinction,376439
181,AAA,2013J,80-90%,0,60,Pass,376581
182,AAA,2013J,80-90%,0,60,Pass,380953
183,AAA,2013J,90-100%,0,120,Pass,383254
184,AAA,2013J,,0,120,Pass,386924
185,AAA,2013J,70-80%,0,120,Pass,386952
186,AAA,2013J,80-90%,0,60,Pass,388722
187,AAA,2013J,90-100%,0,60,Pass,388885
188,AAA,2013J,0-10%,0,90,Withdrawn,390890
189,AAA,2013J,70-80%,0,120,Fail,392756
190,AAA,2013J,50-60%,0,120,Pass,392931
191,AAA,2013J,60-70%,0,60,Pass,393207
192,AAA,2013J,50-60%,0,180,Pass,396872
193,AAA,2013J,90-100%,0,240,Fail,398552
194,AAA,2013J,80-90%,0,60,Pass,401869
195,AAA,2013J,50-60%,0,60,Pass,402470
196,AAA,2013J,20-30%,0,120,Pass,404804
197,AAA,2013J,20-30%,0,120,Pass,405088
198,AAA,2013J,90-100%,0,240,Withdrawn,405961
199,AAA,2013J,50-60%,0,120,Pass,414117
200,AAA,2013J,0-10%,0,90,Withdrawn,415969
201,AAA,2013J,40-50%,0,60,Fail,420087
202,AAA,2013J,70-80%,0,60,Pass,429958
203,AAA,2013J,70-80%,0,150,Pass,441018
204,AAA,2013J,20-30%,0,120,Pass,441888
205,AAA,2013J,80-90%,0,120,Withdrawn,442442
206,AAA,2013J,30-40%,0,60,Distinction,444677
207,AAA,2013J,90-100%,0,60,Withdrawn,470588
208,AAA,2013J,20-30%,0,60,Pass,489455
209,AAA,2013J,80-90%,0,60,Fail,494424
210,AAA,2013J,80-90%,0,120,Pass,495284
211,AAA,2013J,80-90%,0,60,Pass,498857
212,AAA,2013J,40-50%,0,120,Pass,508818
213,AAA,2013J,90-100%,0,120,Pass,512460
214,AAA,2013J,40-50%,0,120,Pass,544103
215,AAA,2013J,60-70%,0,60,Pass,550383
216,AAA,2013J,80-90%,0,120,Fail,564450
217,AAA,2013J,30-40%,0,60,Withdrawn,568601
218,AAA,2013J,70-80%,0,120,Pass,572652
219,AAA,2013J,90-100%,0,120,Pass,580389
220,AAA,2013J,30-40%,0,120,Fail,581129
221,AAA,2013J,90-100%,0,120,Pass,588775
222,AAA,2013J,90-100%,0,60,Pass,591774
223,AAA,2013J,,0,60,Withdrawn,603861
224,AAA,2013J,90-100%,0,60,Fail,606143
225,AAA,2013J,90-100%,0,120,Pass,704156
226,AAA,2013J,60-70%,0,120,Distinction,705379
227,AAA,2013J,50-60%,0,120,Withdrawn,721259
228,AAA,2013J,70-80%,0,60,Pass,749412
229,AAA,2013J,60-70%,0,60,Distinction,760729
230,AAA,2013J,90-100%,0,60,Pass,905042
231,AAA,2013J,50-60%,0,60,Pass,949618
232,AAA,2013J,40-50%,0,60,Pass,958987
233,AAA,2013J,40-50%,0,60,Pass,968578
234,AAA,2013J,80-90%,0,180,Withdrawn,969076
235,AAA,2013J,90-100%,0,60,Pass,971027
236,AAA,2013J,90-100%,0,60,Pass,978739
237,AAA,2013J,30-40%,0,60,Pass,1035023
238,AAA,2013J,80-90%,0,60,Pass,1105478
239,AAA,2013J,20-30%,0,60,Withdrawn,1352868
240,AAA,2013J,70-80%,0,60,Fail,1401935
241,AAA,2013J,30-40%,0,60,Pass,1402638
242,AAA,2013J,10-20,0,120,Fail,1414443
243,AAA,2013J,90-100%,0,60,Withdrawn,1456619
244,AAA,2013J,40-50%,0,120,Pass,1465690
245,AAA,2013J,40-50%,0,60,Fail,1472925
246,AAA,2013J,70-80%,0,60,Pass,1488959
247,AAA,2013J,80-90%,0,60,Pass,1518989
248,AAA,2013J,90-100%,0,60,Pass,1618738
249,AAA,2013J,90-100%,0,60,Fail,1620151
250,AAA,2013J,60-70%,0,60,Distinction,1626710
251,AAA,2013J,30-40%,0,60,Pass,1640609
252,AAA,2013J,50-60%,0,60,Withdrawn,1686521
253,AAA,2013J,40-50%,0,60,Pass,1729319
254,AAA,2013J,60-70%,0,60,Pass,1746134
255,AAA,2013J,30-40%,0,75,Withdrawn,1758449
256,AAA,2013J,10-20,0,60,Withdrawn,1763015
257,AAA,2013J,70-80%,0,60,Pass,1765788
258,AAA,2013J,,0,60,Pass,1801229
259,AAA,2013J,30-40%,0,60,Pass,1801641
260,AAA,2013J,40-50%,0,60,Pass,1847830
261,AAA,2013J,40-50%,0,300,Pass,1860318
262,AAA,2013J,50-60%,0,60,Pass,1889511
263,AAA,2013J,70-80%,0,60,Pass,1889577
264,AAA,2013J,80-90%,0,60,Pass,1894188
265,AAA,2013J,90-100%,0,60,Pass,1938355
266,AAA,2013J,40-50%,0,120,Pass,1942396
267,AAA,2013J,0-10%,0,60,Withdrawn,1970390
268,AAA,2013J,50-60%,0,120,Pass,1976139
269,AAA,2013J,90-100%,0,60,Pass,2011876
270,AAA,2013J,30-40%,0,60,Pass,2012966
271,AAA,2013J,70-80%,0,60,Pass,2051699
272,AAA,2013J,60-70%,0,60,Fail,2062879
273,AAA,2013J,30-40%,0,330,Withdrawn,2065691
274,AAA,2013J,30-40%,0,60,Withdrawn,2073016
275,AAA,2013J,90-100%,0,60,Pass,2080474
276,AAA,2013J,0-10%,0,120,Pass,2083877
277,AAA,2013J,50-60%,0,60,Fail,2084066
278,AAA,2013J,0-10%,0,60,Pass,2104505
279,AAA,2013J,80-90%,0,60,Distinction,2122180
280,AAA,2013J,50-60%,0,120,Withdrawn,2139353
281,AAA,2013J,70-80%,0,60,Pass,2143752
282,AAA,2013J,20-30%,0,60,Pass,2146792
283,AAA,2013J,70-80%,0,60,Withdrawn,2149225
284,AAA,2013J,40-50%,0,60,Pass,2153153
285,AAA,2013J,80-90%,0,60,Pass,2155014
286,AAA,2013J,40-50%,0,120,Fail,2164705
287,AAA,2013J,30-40%,0,60,Pass,2171627
288,AAA,2013J,70-80%,0,60,Pass,2182846
289,AAA,2013J,50-60%,0,60,Pass,2194100
290,AAA,2013J,30-40%,0,60,Pass,2197016
291,AAA,2013J,20-30%,0,60,Pass,2208424
292,AAA,2013J,10-20,0,60,Pass,2229865
293,AAA,2013J,80-90%,0,120,Withdrawn,2255601
294,AAA,2013J,20-30%,0,60,Pass,2268379
295,AAA,2013J,30-40%,0,60,Pass,2278464
296,AAA,2013J,90-100%,0,150,Pass,2293923
297,AAA,2013J,20-30%,0,60,Withdrawn,2312620
298,AAA,2013J,90-100%,0,60,Withdrawn,2318055
299,AAA,2013J,90-100%,0,60,Withdrawn,2324976
300,AAA,2013J,40-50%,0,120,Pass,2329342
301,AAA,2013J,40-50%,0,60,Distinction,2339528
302,AAA,2013J,20-30%,0,60,Fail,2342426
303,AAA,2013J,60-70%,0,60,Fail,2344901
304,AAA,2013J,,0,60,Fail,2358056
305,AAA,2013J,70-80%,0,180,Withdrawn,2358969
306,AAA,2013J,90-100%,0,60,Pass,2364471
307,AAA,2013J,20-30%,0,300,Withdrawn,2365101
308,AAA,2013J,80-90%,0,120,Pass,2367155
309,AAA,2013J,70-80%,0,60,Pass,2369266
310,AAA,2013J,20-30%,0,120,Pass,2376496
311,AAA,2013J,90-100%,0,60,Withdrawn,2391984
312,AAA,2013J,80-90%,0,120,Fail,2411661
313,AAA,2013J,20-30%,0,120,Withdrawn,2411778
314,AAA,2013J,50-60%,0,90,Distinction,2412002
315,AAA,2013J,80-90%,0,60,Pass,2412967
316,AAA,2013J,10-20,0,120,Withdrawn,2429854
317,AAA,2013J,30-40%,0,60,Pass,2437837
318,AAA,2013J,30-40%,0,60,Pass,2449878
319,AAA,2013J,80-90%,0,120,Fail,2456480
320,AAA,2013J,80-90%,0,180,Pass,2457256
321,AAA,2013J,80-90%,0,60,Pass,2458355
322,AAA,2013J,90-100%,0,60,Pass,2460080
323,AAA,2013J,70-80%,0,60,Fail,2461190
324,AAA,2013J,20-30%,0,60,Fail,2469673
325,AAA,2013J,50-60%,0,60,Withdrawn,2470694
326,AAA,2013J,40-50%,0,60,Pass,2479954
327,AAA,2013J,80-90%,0,60,Pass,2481901
328,AAA,2013J,90-100%,0,120,Pass,2482700
329,AAA,2013J,90-100%,0,120,Pass,2486127
330,AAA,2013J,40-50%,0,240,Pass,2498700
331,AAA,2013J,40-50%,0,60,Pass,2516503
332,AAA,2013J,90-100%,0,60,Pass,2518069
333,AAA,2013J,10-20,0,60,Pass,2521459
334,AAA,2013J,20-30%,0,120,Pass,2523736
335,AAA,2013J,60-70%,0,60,Pass,2529279
336,AAA,2013J,80-90%,0,60,Pass,2532302
337,AAA,2013J,90-100%,0,60,Distinction,2536991
338,AAA,2013J,40-50%,0,60,Withdrawn,2542724
339,AAA,2013J,,0,60,Pass,2550279
340,AAA,2013J,90-100%,0,60,Pass,2551220
341,AAA,2013J,80-90%,0,120,Withdrawn,2552472
342,AAA,2013J,90-100%,0,60,Pass,2555340
343,AAA,2013J,80-90%,0,60,Pass,2557283
344,AAA,2013J,30-40%,0,60,Pass,2559575
345,AAA,2013J,70-80%,0,60,Pass,2562034
346,AAA,2013J,80-90%,0,60,Pass,2566163
347,AAA,2013J,90-100%,0,60,Pass,2566592
348,AAA,2013J,90-100%,0,120,Withdrawn,2569324
349,AAA,2013J,,0,60,Pass,2574528
350,AAA,2013J,70-80%,0,60,Pass,2574583
351,AAA,2013J,70-80%,0,60,Withdrawn,2576122
352,AAA,2013J,10-20,0,60,Pass,2578995
353,AAA,2013J,80-90%,0,60,Pass,2586560
354,AAA,2013J,50-60%,0,60,Pass,2594139
355,AAA,2013J,80-90%,0,60,Pass,2598871
356,AAA,2013J,30-40%,0,120,Pass,2599352
357,AAA,2013J,20-30%,0,60,Pass,2600688
358,AAA,2013J,90-100%,0,60,Pass,2606098
359,AAA,2013J,10-20,0,60,Pass,2613116
360,AAA,2013J,80-90%,0,60,Pass,2617002
361,AAA,2013J,40-50%,0,60,Fail,2620584
362,AAA,2013J,10-20,0,120,Pass,2639449
363,AAA,2013J,90-100%,0,60,Pass,2639540
364,AAA,2013J,30-40%,0,120,Pass,2639641
365,AAA,2013J,50-60%,0,60,Pass,2641155
366,AAA,2013J,80-90%,0,60,Pass,2643002
367,AAA,2013J,40-50%,0,180,Pass,2645733
368,AAA,2013J,60-70%,0,60,Distinction,2649826
369,AAA,2013J,0-10%,0,60,Pass,2650282
370,AAA,2013J,90-100%,0,60,Pass,2664024
371,AAA,2013J,90-100%,0,60,Pass,2666246
372,AAA,2013J,90-100%,0,60,Fail,2669816
373,AAA,2013J,20-30%,0,60,Pass,2671132
374,AAA,2013J,10-20,0,150,Fail,2676809
375,AAA,2013J,80-90%,0,60,Pass,2678643
376,AAA,2013J,30-40%,0,60,Pass,2685865
377,AAA,2013J,10-20,0,60,Pass,2688067
378,AAA,2013J,40-50%,0,60,Distinction,2689958
379,AAA,2013J,50-60%,0,60,Distinction,2691206
380,AAA,2013J,40-50%,0,180,Pass,2691244
381,AAA,2013J,70-80%,0,120,Pass,2694424
382,AAA,2013J,60-70%,0,120,Pass,2698257
383,AAA,2014J,80-90%,0,60,Pass,6516
384,AAA,2014J,60-70%,0,60,Pass,24734
385,AAA,2014J,60-70%,0,60,Distinction,26192
386,AAA,2014J,40-50%,0,60,Pass,28061
387,AAA,2014J,40-50%,0,60,Pass,31600
388,AAA,2014J,30-40%,0,60,Pass,46844
389,AAA,2014J,0-10%,0,120,Pass,52765
390,AAA,2014J,60-70%,0,60,Pass,55104
391,AAA,2014J,90-100%,0,60,Pass,58071
392,AAA,2014J,70-80%,0,120,Pass,58316
393,AAA,2014J,10-20,0,60,Pass,62487
394,AAA,2014J,80-90%,0,60,Pass,63165
395,AAA,2014J,70-80%,1,60,Fail,65002
396,AAA,2014J,40-50%,0,60,Pass,70011
397,AAA,2014J,40-50%,0,120,Pass,75255
398,AAA,2014J,80-90%,0,60,Withdrawn,79403
399,AAA,2014J,30-40%,0,60,Pass,85092
400,AAA,2014J,50-60%,0,60,Pass,85144
401,AAA,2014J,80-90%,0,60,Pass,85302
402,AAA,2014J,10-20,0,60,Withdrawn,87431
403,AAA,2014J,70-80%,1,60,Pass,94961
404,AAA,2014J,90-100%,0,60,Withdrawn,95755
405,AAA,2014J,60-70%,0,60,Pass,101116
406,AAA,2014J,20-30%,0,60,Pass,107489
407,AAA,2014J,80-90%,0,60,Pass,108872
408,AAA,2014J,90-100%,0,60,Pass,109155
409,AAA,2014J,40-50%,0,60,Fail,111512
410,AAA,2014J,40-50%,0,60,Pass,117818
411,AAA,2014J,60-70%,0,60,Withdrawn,119902
412,AAA,2014J,40-50%,1,60,Pass,121349
413,AAA,2014J,60-70%,0,120,Distinction,124064
414,AAA,2014J,70-80%,0,60,Pass,125018
415,AAA,2014J,50-60%,1,60,Withdrawn,129955
416,AAA,2014J,60-70%,0,60,Pass,130034
417,AAA,2014J,70-80%,0,60,Pass,130547
418,AAA,2014J,10-20,0,60,Pass,130636
419,AAA,2014J,90-100%,0,60,Pass,131390
420,AAA,2014J,70-80%,0,60,Pass,133816
421,AAA,2014J,0-10%,0,60,Pass,133922
422,AAA,2014J,20-30%,1,120,Withdrawn,135335
423,AAA,2014J,90-100%,1,60,Pass,135400
424,AAA,2014J,90-100%,0,60,Distinction,135471
425,AAA,2014J,90-100%,0,60,Fail,139033
426,AAA,2014J,90-100%,1,210,Pass,141377
427,AAA,2014J,20-30%,0,60,Fail,141506
428,AAA,2014J,30-40%,0,120,Pass,146503
429,AAA,2014J,60-70%,1,120,Pass,147756
430,AAA,2014J,30-40%,1,60,Pass,148993
431,AAA,2014J,20-30%,0,60,Pass,149741
432,AAA,2014J,60-70%,0,60,Pass,149962
433,AAA,2014J,0-10%,0,120,Withdrawn,151587
434,AAA,2014J,90-100%,0,60,Withdrawn,152668
435,AAA,2014J,70-80%,1,120,Pass,155984
436,AAA,2014J,80-90%,0,60,Withdrawn,158707
437,AAA,2014J,40-50%,1,60,Withdrawn,159954
438,AAA,2014J,40-50%,0,60,Pass,164944
439,AAA,2014J,30-40%,0,60,Fail,165226
440,AAA,2014J,70-80%,0,60,Pass,167961
441,AAA,2014J,10-20,0,60,Pass,174024
442,AAA,2014J,30-40%,0,60,Pass,174094
443,AAA,2014J,70-80%,0,60,Pass,174745
444,AAA,2014J,50-60%,0,60,Pass,175447
445,AAA,2014J,90-100%,0,270,Withdrawn,175772
446,AAA,2014J,90-100%,0,60,Pass,183057
447,AAA,2014J,10-20,0,60,Fail,185350
448,AAA,2014J,70-80%,1,60,Pass,188278
449,AAA,2014J,30-40%,0,60,Pass,199636
450,AAA,2014J,10-20,0,60,Pass,199897
451,AAA,2014J,90-100%,0,60,Pass,200804
452,AAA,2014J,30-40%,0,60,Pass,205494
453,AAA,2014J,40-50%,0,60,Distinction,228021
454,AAA,2014J,50-60%,0,60,Pass,228383
455,AAA,2014J,50-60%,0,60,Pass,232307
456,AAA,2014J,30-40%,0,60,Pass,235068
457,AAA,2014J,90-100%,1,180,Pass,235507
458,AAA,2014J,40-50%,0,60,Pass,236875
459,AAA,2014J,10-20,0,60,Pass,237274
460,AAA,2014J,60-70%,0,60,Fail,243510
461,AAA,2014J,60-70%,0,60,Pass,244246
462,AAA,2014J,40-50%,0,60,Distinction,248581
463,AAA,2014J,30-40%,0,120,Pass,252073
464,AAA,2014J,20-30%,0,60,Distinction,254625
465,AAA,2014J,10-20,0,60,Distinction,258587
466,AAA,2014J,80-90%,1,120,Withdrawn,260355
467,AAA,2014J,40-50%,0,60,Pass,260623
468,AAA,2014J,40-50%,0,60,Pass,263251
469,AAA,2014J,90-100%,0,60,Pass,263543
470,AAA,2014J,,0,60,Distinction,263952
471,AAA,2014J,30-40%,0,240,Pass,266524
472,AAA,2014J,30-40%,1,120,Fail,268733
473,AAA,2014J,70-80%,0,60,Pass,273346
474,AAA,2014J,40-50%,0,120,Withdrawn,274947
475,AAA,2014J,20-30%,0,60,Withdrawn,275674
476,AAA,2014J,50-60%,0,60,Pass,275792
477,AAA,2014J,70-80%,0,60,Fail,277123
478,AAA,2014J,60-70%,1,120,Withdrawn,277880
479,AAA,2014J,50-60%,0,60,Pass,281077
480,AAA,2014J,20-30%,0,60,Pass,281636
481,AAA,2014J,70-80%,0,60,Pass,285315
482,AAA,2014J,40-50%,0,90,Pass,287040
483,AAA,2014J,0-10%,0,60,Pass,287204
484,AAA,2014J,70-80%,0,60,Pass,287210
485,AAA,2014J,30-40%,0,120,Fail,288994
486,AAA,2014J,90-100%,0,60,Pass,289449
487,AAA,2014J,30-40%,0,60,Pass,290164
488,AAA,2014J,70-80%,0,60,Pass,292525
489,AAA,2014J,40-50%,0,60,Pass,292775
490,AAA,2014J,50-60%,0,60,Pass,293824
491,AAA,2014J,10-20,0,60,Pass,294496
492,AAA,2014J,70-80%,0,60,Fail,294655
493,AAA,2014J,70-80%,0,60,Fail,295060
494,AAA,2014J,70-80%,0,60,Pass,295075
495,AAA,2014J,30-40%,0,60,Pass,296424
496,AAA,2014J,70-80%,0,120,Fail,298034
497,AAA,2014J,70-80%,0,60,Pass,298838
498,AAA,2014J,20-30%,0,60,Pass,301967
499,AAA,2014J,70-80%,0,60,Distinction,302476
500,AAA,2014J,20-30%,0,60,Pass,303521
501,AAA,2014J,70-80%,1,60,Pass,303985
502,AAA,2014J,50-60%,0,60,Pass,304465
503,AAA,2014J,80-90%,0,60,Pass,306646
504,AAA,2014J,90-100%,0,60,Pass,309142
505,AAA,2014J,40-50%,0,60,Pass,310412
506,AAA,2014J,50-60%,0,60,Pass,311235
507,AAA,2014J,70-80%,0,120,Fail,311659
508,AAA,2014J,80-90%,0,60,Pass,313937
509,AAA,2014J,0-10%,0,60,Pass,315076
510,AAA,2014J,90-100%,0,60,Distinction,315744
511,AAA,2014J,30-40%,0,120,Pass,323370
512,AAA,2014J,20-30%,0,180,Withdrawn,323805
513,AAA,2014J,10-20,0,60,Pass,328024
514,AAA,2014J,80-90%,0,180,Withdrawn,328734
515,AAA,2014J,30-40%,0,60,Fail,329659
516,AAA,2014J,50-60%,0,60,Pass,330594
517,AAA,2014J,90-100%,1,60,Distinction,331358
518,AAA,2014J,60-70%,0,60,Pass,332884
519,AAA,2014J,60-70%,0,60,Fail,334441
520,AAA,2014J,80-90%,0,60,Pass,335247
521,AAA,2014J,20-30%,1,60,Pass,335764
