id_student,gender,region,highest_education,disability,age_band
35502,M,West Midlands Region,HE Qualification,N,0-34
35508,M,South West Region,A Level or Equivalent,N,0-34
35544,M,Wales,A Level or Equivalent,N,35-54
35747,M,North Western Region,A Level or Equivalent,N,35-54
35796,M,Wales,A Level or Equivalent,N,0-34
35812,F,East Anglian Region,Lower Than A Level,N,0-34
35859,M,North Western Region,A Level or Equivalent,N,0-34
35860,M,South West Region,A Level or Equivalent,N,0-34
36347,M,North Western Region,Lower Than A Level,N,0-34
36385,M,West Midlands Region,Lower Than A Level,Y,0-34
36842,M,South Region,Lower Than A Level,N,0-34
37298,M,Ireland,HE Qualification,N,0-34
37622,F,Scotland,HE Qualification,N,0-34
37652,F,London Region,HE Qualification,N,35-54
38053,M,Wales,A Level or Equivalent,N,35-54
38187,F,East Anglian Region,Lower Than A Level,N,0-34
38234,F,East Midlands Region,A Level or Equivalent,N,0-34
38711,M,West Midlands Region,Lower Than A Level,Y,35-54
38941,F,East Midlands Region,A Level or Equivalent,N,0-34
39208,F,Wales,A Level or Equivalent,N,35-54
39411,F,West Midlands Region,Lower Than A Level,N,0-34
39427,F,South Region,A Level or Equivalent,N,0-34
39655,F,Scotland,Lower Than A Level,N,0-34
39660,F,North Western Region,Lower Than A Level,N,0-34
39882,F,Scotland,A Level or Equivalent,N,0-34
40184,M,Wales,HE Qualification,N,55<=
40333,M,North Region,HE Qualification,N,35-54
40419,M,East Midlands Region,Lower Than A Level,N,35-54
40508,M,West Midlands Region,A Level or Equivalent,N,35-54
40563,F,South East Region,A Level or Equivalent,N,0-34
40604,M,Ireland,A Level or Equivalent,N,35-54
40857,F,North Western Region,A Level or Equivalent,Y,0-34
40878,M,North Western Region,Lower Than A Level,N,0-34
41060,M,Ireland,HE Qualification,N,0-34
41414,F,West Midlands Region,Lower Than A Level,Y,0-34
41489,F,East Anglian Region,Lower Than A Level,N,0-34
41547,F,Yorkshire Region,A Level or Equivalent,N,0-34
42552,F,East Anglian Region,A Level or Equivalent,N,0-34
42616,F,Scotland,Lower Than A Level,N,35-54
42638,M,Scotland,HE Qualification,N,35-54
42668,M,London Region,Lower Than A Level,N,35-54
42746,F,South Region,HE Qualification,N,35-54
42818,F,East Anglian Region,Lower Than A Level,Y,0-34
43011,M,North Region,Lower Than A Level,N,0-34
43273,M,East Midlands Region,HE Qualification,N,35-54
43284,M,East Midlands Region,Lower Than A Level,N,0-34
43430,M,South West Region,A Level or Equivalent,N,35-54
43564,M,Scotland,HE Qualification,N,35-54
43958,M,Wales,A Level or Equivalent,N,35-54
45423,M,South West Region,Lower Than A Level,N,35-54
45462,M,Scotland,HE Qualification,N,0-34
45642,F,North Western Region,A Level or Equivalent,N,0-34
45664,M,Yorkshire Region,HE Qualification,N,0-34
46016,M,North Western Region,Lower Than A Level,N,0-34
46048,M,East Anglian Region,A Level or Equivalent,N,35-54
46148,M,North Western Region,A Level or Equivalent,N,35-54
46605,M,East Anglian Region,HE Qualification,N,35-54
46633,F,London Region,A Level or Equivalent,N,0-34
46705,M,Ireland,HE Qualification,N,35-54
46753,F,East Anglian Region,A Level or Equivalent,N,35-54
46812,F,North Region,Lower Than A Level,Y,0-34
46844,M,North Region,HE Qualification,N,35-54
47061,M,East Midlands Region,A Level or Equivalent,N,0-34
47063,M,London Region,HE Qualification,N,35-54
47855,F,Scotland,Lower Than A Level,N,35-54
47861,M,South East Region,A Level or Equivalent,Y,0-34
47891,F,Wales,Lower Than A Level,N,0-34
47924,M,West Midlands Region,Lower Than A Level,N,35-54
48040,F,East Midlands Region,A Level or Equivalent,N,35-54
48152,F,East Anglian Region,A Level or Equivalent,N,0-34
48503,F,West Midlands Region,Lower Than A Level,N,0-34
48635,M,South Region,HE Qualification,N,0-34
49095,F,South West Region,HE Qualification,N,0-34
49119,M,Ireland,HE Qualification,N,0-34
49123,M,Yorkshire Region,Lower Than A Level,N,0-34
49530,M,East Anglian Region,A Level or Equivalent,N,0-34
49670,M,North Region,A Level or Equivalent,N,0-34
50069,F,Scotland,A Level or Equivalent,N,0-34
50263,M,West Midlands Region,HE Qualification,N,35-54
50309,M,East Midlands Region,Lower Than A Level,N,0-34
50476,F,South West Region,HE Qualification,N,0-34
50487,F,East Anglian Region,Lower Than A Level,N,0-34
50610,F,East Anglian Region,A Level or Equivalent,Y,0-34
50619,M,North Western Region,A Level or Equivalent,N,0-34
50993,F,Scotland,Lower Than A Level,Y,0-34
51030,M,West Midlands Region,A Level or Equivalent,N,0-34
51033,F,South Region,A Level or Equivalent,N,0-34
51153,F,East Midlands Region,HE Qualification,N,35-54
51163,M,London Region,HE Qualification,N,35-54
51253,F,North Western Region,Lower Than A Level,N,0-34
51301,F,Wales,Lower Than A Level,Y,0-34
51485,M,West Midlands Region,Lower Than A Level,N,0-34
51576,F,London Region,Lower Than A Level,N,0-34
51955,M,Scotland,A Level or Equivalent,Y,0-34
52014,F,Wales,Lower Than A Level,N,35-54
52130,F,East Anglian Region,A Level or Equivalent,N,0-34
52275,M,London Region,No Formal quals,N,0-34
52426,F,Scotland,Lower Than A Level,N,35-54
52494,F,South Region,Lower Than A Level,N,0-34
52702,F,Scotland,Lower Than A Level,N,35-54
52765,F,Yorkshire Region,Lower Than A Level,N,35-54
52797,F,South West Region,Lower Than A Level,N,35-54
52899,F,East Midlands Region,Lower Than A Level,N,35-54
53025,M,North Region,Post Graduate Qualification,N,55<=
53136,F,London Region,A Level or Equivalent,N,0-34
53166,F,North Region,Lower Than A Level,N,0-34
53197,F,North Western Region,No Formal quals,N,0-34
53236,F,Yorkshire Region,Lower Than A Level,N,0-34
53300,M,West Midlands Region,A Level or Equivalent,N,0-34
53360,F,North Western Region,Lower Than A Level,N,35-54
53488,F,East Anglian Region,HE Qualification,N,0-34
53626,M,Scotland,HE Qualification,Y,35-54
53632,M,Wales,Lower Than A Level,N,0-34
53709,M,Wales,A Level or Equivalent,N,0-34
53895,M,North Region,A Level or Equivalent,N,35-54
54062,M,East Anglian Region,A Level or Equivalent,N,0-34
54388,M,East Anglian Region,Lower Than A Level,N,35-54
54391,M,South West Region,Lower Than A Level,N,0-34
54739,M,Yorkshire Region,Lower Than A Level,N,0-34
54772,M,South Region,Lower Than A Level,N,0-34
54810,M,South Region,HE Qualification,N,0-34
54867,F,South West Region,Lower Than A Level,N,0-34
54882,M,Scotland,Lower Than A Level,N,0-34
55013,M,North Region,A Level or Equivalent,N,0-34
55026,F,London Region,A Level or Equivalent,Y,35-54
55104,F,West Midlands Region,A Level or Equivalent,N,0-34
55242,F,North Western Region,Lower Than A Level,N,0-34
55419,M,South Region,A Level or Equivalent,N,0-34
55450,M,South East Region,A Level or Equivalent,N,35-54
55968,F,Wales,Lower Than A Level,N,0-34
56340,F,South Region,Lower Than A Level,N,0-34
56637,M,East Midlands Region,Lower Than A Level,Y,0-34
56667,M,Yorkshire Region,Lower Than A Level,N,35-54
56789,F,South East Region,A Level or Equivalent,N,35-54
57079,F,London Region,Lower Than A Level,N,35-54
57227,F,North Western Region,Lower Than A Level,N,0-34
57285,F,London Region,A Level or Equivalent,N,0-34
57340,F,East Anglian Region,A Level or Equivalent,N,0-34
57359,M,East Midlands Region,HE Qualification,N,35-54
57369,M,Ireland,Lower Than A Level,N,35-54
57506,M,South Region,Lower Than A Level,N,35-54
57818,M,Wales,A Level or Equivalent,N,35-54
57844,M,South West Region,A Level or Equivalent,N,0-34
58071,M,East Anglian Region,HE Qualification,N,55<=
58077,M,North Region,Lower Than A Level,N,0-34
58089,F,West Midlands Region,A Level or Equivalent,N,0-34
58221,M,East Midlands Region,Lower Than A Level,N,0-34
58316,F,Wales,A Level or Equivalent,N,0-34
58520,F,South Region,A Level or Equivalent,Y,35-54
58549,M,North Region,A Level or Equivalent,N,0-34
58617,M,East Midlands Region,A Level or Equivalent,N,0-34
58640,M,Scotland,A Level or Equivalent,Y,0-34
58653,F,North Western Region,Lower Than A Level,N,35-54
58731,F,South West Region,A Level or Equivalent,Y,0-34
58873,F,East Anglian Region,A Level or Equivalent,N,0-34
58884,M,South Region,A Level or Equivalent,Y,35-54
59185,M,East Anglian Region,Lower Than A Level,N,35-54
59272,F,South East Region,Lower Than A Level,N,0-34
59275,M,Scotland,HE Qualification,N,0-34
59370,M,Ireland,A Level or Equivalent,N,35-54
59541,M,East Anglian Region,A Level or Equivalent,Y,0-34
59725,F,Wales,HE Qualification,N,35-54
60135,F,West Midlands Region,A Level or Equivalent,N,0-34
60162,F,London Region,A Level or Equivalent,N,35-54
60405,F,Yorkshire Region,A Level or Equivalent,N,35-54
60416,F,East Anglian Region,Lower Than A Level,N,0-34
60519,F,London Region,A Level or Equivalent,N,35-54
60809,M,South East Region,Lower Than A Level,N,0-34
60830,F,South Region,HE Qualification,N,0-34
61118,F,London Region,A Level or Equivalent,N,0-34
61227,F,East Anglian Region,Lower Than A Level,Y,0-34
61236,M,South West Region,HE Qualification,N,35-54
61297,F,East Midlands Region,No Formal quals,N,0-34
61352,F,Yorkshire Region,A Level or Equivalent,N,0-34
61911,M,Wales,Lower Than A Level,N,0-34
62034,M,West Midlands Region,Lower Than A Level,N,0-34
62155,F,North Western Region,HE Qualification,N,0-34
62278,M,West Midlands Region,A Level or Equivalent,N,0-34
62487,F,East Midlands Region,A Level or Equivalent,N,0-34
62631,F,North Western Region,A Level or Equivalent,N,0-34
62975,M,South Region,Lower Than A Level,N,35-54
63015,F,East Anglian Region,Lower Than A Level,N,35-54
63044,F,London Region,Lower Than A Level,N,0-34
63112,M,South East Region,Lower Than A Level,N,35-54
63165,M,South East Region,A Level or Equivalent,N,35-54
63295,M,South Region,HE Qualification,N,35-54
63371,M,Ireland,Lower Than A Level,N,0-34
63400,M,Scotland,Lower Than A Level,N,35-54
63467,F,North Western Region,A Level or Equivalent,N,35-54
63566,M,South East Region,HE Qualification,N,55<=
63721,F,South East Region,Lower Than A Level,Y,0-34
63827,M,South West Region,Lower Than A Level,N,0-34
63856,M,Scotland,A Level or Equivalent,N,35-54
63949,F,Ireland,Lower Than A Level,N,0-34
63958,M,South Region,Lower Than A Level,N,0-34
64246,F,South East Region,Lower Than A Level,N,35-54
64275,F,West Midlands Region,Lower Than A Level,Y,0-34
64296,M,Scotland,HE Qualification,N,0-34
64388,M,East Midlands Region,Lower Than A Level,N,0-34
64427,M,London Region,A Level or Equivalent,N,0-34
64450,M,West Midlands Region,Lower Than A Level,N,0-34
64767,M,East Anglian Region,A Level or Equivalent,N,35-54
64777,M,North Western Region,Lower Than A Level,Y,0-34
64901,M,London Region,Lower Than A Level,N,35-54
65002,F,East Anglian Region,A Level or Equivalent,N,0-34
65656,M,West Midlands Region,A Level or Equivalent,N,35-54
65807,F,North Western Region,HE Qualification,N,0-34
66047,F,North Western Region,HE Qualification,Y,0-34
66254,F,Ireland,A Level or Equivalent,N,0-34
66451,M,Scotland,A Level or Equivalent,N,0-34
66577,F,North Western Region,HE Qualification,N,0-34
66579,M,South Region,Lower Than A Level,N,35-54
66713,M,South Region,A Level or Equivalent,N,0-34
66892,M,London Region,A Level or Equivalent,N,0-34
67182,F,South Region,A Level or Equivalent,N,35-54
67471,F,London Region,Lower Than A Level,N,0-34
67505,F,North Region,A Level or Equivalent,N,35-54
67539,M,Ireland,Lower Than A Level,N,0-34
67602,M,Ireland,Lower Than A Level,N,0-34
67685,M,South Region,A Level or Equivalent,N,0-34
67781,F,South Region,A Level or Equivalent,N,0-34
67785,F,London Region,Lower Than A Level,Y,0-34
67863,F,London Region,Lower Than A Level,N,35-54
67986,F,Scotland,Lower Than A Level,N,0-34
68011,M,London Region,A Level or Equivalent,N,0-34
68107,F,London Region,A Level or Equivalent,Y,0-34
68208,M,Scotland,HE Qualification,N,35-54
68376,M,Yorkshire Region,HE Qualification,N,0-34
68417,M,Scotland,Lower Than A Level,N,0-34
68556,F,South East Region,HE Qualification,N,0-34
69239,F,East Midlands Region,Lower Than A Level,Y,0-34
69346,M,London Region,A Level or Equivalent,N,0-34
69439,M,East Midlands Region,Lower Than A Level,N,0-34
69489,M,South West Region,Lower Than A Level,N,0-34
69491,F,East Anglian Region,Lower Than A Level,N,0-34
69494,F,Yorkshire Region,No Formal quals,N,0-34
69703,M,Yorkshire Region,Lower Than A Level,N,0-34
69843,F,South West Region,A Level or Equivalent,N,35-54
70011,F,Scotland,HE Qualification,N,0-34
70214,M,Wales,Lower Than A Level,N,0-34
70381,M,Scotland,HE Qualification,N,35-54
70464,F,West Midlands Region,A Level or Equivalent,N,35-54
70495,M,Scotland,Lower Than A Level,N,0-34
70537,M,London Region,Lower Than A Level,N,35-54
70569,F,Wales,Lower Than A Level,N,0-34
70608,F,South East Region,HE Qualification,N,35-54
70750,F,London Region,Lower Than A Level,N,0-34
70771,M,Scotland,HE Qualification,N,0-34
70827,M,East Midlands Region,HE Qualification,N,0-34
71159,M,North Region,Lower Than A Level,N,35-54
71209,M,South East Region,Lower Than A Level,N,35-54
71252,M,North Western Region,Lower Than A Level,Y,0-34
71275,F,Ireland,Lower Than A Level,N,35-54
71361,M,Ireland,HE Qualification,N,35-54
71433,F,North Western Region,A Level or Equivalent,N,0-34
71504,F,East Anglian Region,A Level or Equivalent,N,35-54
71578,M,South Region,A Level or Equivalent,N,0-34
71676,F,East Midlands Region,Lower Than A Level,N,0-34
71723,M,North Western Region,A Level or Equivalent,N,0-34
71897,M,South East Region,A Level or Equivalent,N,0-34
72057,F,Yorkshire Region,A Level or Equivalent,N,0-34
72070,M,South East Region,A Level or Equivalent,N,35-54
72114,M,North Region,A Level or Equivalent,Y,0-34
72349,F,Scotland,A Level or Equivalent,N,0-34
72400,F,East Anglian Region,A Level or Equivalent,Y,0-34
72451,M,East Midlands Region,Lower Than A Level,N,0-34
72609,F,Wales,Lower Than A Level,N,35-54
72693,F,Yorkshire Region,Lower Than A Level,Y,0-34
72864,F,Yorkshire Region,Lower Than A Level,N,35-54
73019,M,Scotland,HE Qualification,N,0-34
73489,F,South Region,HE Qualification,N,0-34
73584,F,South West Region,Lower Than A Level,N,0-34
73664,M,North Western Region,A Level or Equivalent,N,0-34
73874,F,Wales,Lower Than A Level,N,35-54
74113,M,Yorkshire Region,A Level or Equivalent,N,0-34
74130,M,South Region,A Level or Equivalent,N,0-34
74165,M,West Midlands Region,A Level or Equivalent,N,0-34
74169,M,East Anglian Region,A Level or Equivalent,N,35-54
74290,M,Scotland,Lower Than A Level,N,0-34
74372,M,East Anglian Region,A Level or Equivalent,N,35-54
74502,F,Wales,Lower Than A Level,N,0-34
74521,M,North Region,HE Qualification,N,35-54
74524,F,East Midlands Region,Lower Than A Level,Y,35-54
74574,F,Scotland,Lower Than A Level,Y,0-34
74585,F,Wales,A Level or Equivalent,N,35-54
74695,F,North Region,Lower Than A Level,N,0-34
74734,F,North Western Region,Lower Than A Level,N,0-34
75091,M,South West Region,A Level or Equivalent,N,35-54
75107,M,North Region,Lower Than A Level,N,35-54
75118,F,North Western Region,Lower Than A Level,Y,0-34
75255,M,North Western Region,A Level or Equivalent,N,0-34
75309,F,East Midlands Region,A Level or Equivalent,N,35-54
75399,F,East Anglian Region,Lower Than A Level,N,35-54
75427,M,East Midlands Region,Lower Than A Level,N,0-34
75442,F,London Region,Lower Than A Level,N,0-34
75454,M,South West Region,A Level or Equivalent,N,0-34
75469,M,East Midlands Region,A Level or Equivalent,N,0-34
75728,F,South West Region,HE Qualification,N,35-54
76081,F,East Midlands Region,Lower Than A Level,Y,0-34
76196,F,North Western Region,Lower Than A Level,Y,35-54
76536,F,West Midlands Region,Lower Than A Level,N,0-34
76579,F,Yorkshire Region,HE Qualification,N,0-34
76949,M,London Region,HE Qualification,N,35-54
77241,M,West Midlands Region,Lower Than A Level,N,35-54
77367,M,East Midlands Region,A Level or Equivalent,N,0-34
77692,M,Wales,HE Qualification,N,35-54
77744,M,North Western Region,A Level or Equivalent,N,0-34
77746,M,Wales,A Level or Equivalent,N,0-34
77763,M,East Anglian Region,HE Qualification,N,35-54
77845,M,East Midlands Region,A Level or Equivalent,N,0-34
77995,M,East Midlands Region,A Level or Equivalent,N,0-34
77998,M,Ireland,Lower Than A Level,N,35-54
78170,F,West Midlands Region,Lower Than A Level,N,0-34
78255,F,North Region,Lower Than A Level,N,0-34
78645,F,East Anglian Region,Lower Than A Level,N,0-34
79261,M,South Region,A Level or Equivalent,N,0-34
79378,F,London Region,Lower Than A Level,Y,35-54
79403,M,South Region,Lower Than A Level,N,35-54
79461,M,Scotland,A Level or Equivalent,N,0-34
79610,M,West Midlands Region,A Level or Equivalent,N,0-34
79683,M,Wales,A Level or Equivalent,Y,0-34
80001,F,South West Region,Lower Than A Level,N,0-34
80243,F,North Western Region,A Level or Equivalent,N,35-54
80329,M,South Region,Lower Than A Level,N,0-34
80358,M,Scotland,Lower Than A Level,N,0-34
80438,M,East Midlands Region,A Level or Equivalent,N,0-34
80448,F,East Midlands Region,A Level or Equivalent,N,35-54
80491,M,Scotland,Lower Than A Level,N,35-54
80717,F,South West Region,Lower Than A Level,N,35-54
80745,F,East Midlands Region,A Level or Equivalent,Y,0-34
80775,M,Wales,A Level or Equivalent,N,35-54
80868,M,South West Region,Lower Than A Level,N,0-34
80886,M,North Western Region,Lower Than A Level,N,35-54
81216,M,South Region,Lower Than A Level,N,0-34
81351,M,Scotland,HE Qualification,Y,35-54
81536,M,Scotland,Lower Than A Level,N,35-54
81754,F,North Western Region,A Level or Equivalent,N,0-34
82088,F,East Midlands Region,HE Qualification,N,35-54
82201,F,London Region,Lower Than A Level,N,0-34
82341,F,South East Region,Lower Than A Level,Y,0-34
82535,F,Wales,Lower Than A Level,N,0-34
82556,M,Ireland,Lower Than A Level,N,0-34
82575,M,West Midlands Region,HE Qualification,N,0-34
82611,F,Wales,Lower Than A Level,N,0-34
82741,F,East Anglian Region,Lower Than A Level,N,0-34
82817,F,London Region,HE Qualification,N,35-54
83219,F,West Midlands Region,A Level or Equivalent,N,0-34
83254,F,London Region,HE Qualification,N,35-54
83453,M,West Midlands Region,HE Qualification,N,35-54
83553,M,West Midlands Region,Lower Than A Level,N,0-34
83588,M,South West Region,HE Qualification,N,35-54
83603,M,London Region,A Level or Equivalent,N,35-54
84051,M,Wales,A Level or Equivalent,N,0-34
84245,M,Wales,A Level or Equivalent,N,0-34
84299,M,London Region,A Level or Equivalent,N,0-34
84541,F,North Region,A Level or Equivalent,N,0-34
84576,M,Wales,HE Qualification,N,35-54
84604,F,North Region,A Level or Equivalent,N,35-54
84605,M,North Region,A Level or Equivalent,N,35-54
84664,F,North Western Region,A Level or Equivalent,N,35-54
84812,F,East Anglian Region,A Level or Equivalent,N,0-34
85092,F,South West Region,Lower Than A Level,N,0-34
85144,M,Scotland,A Level or Equivalent,N,35-54
85216,F,Scotland,HE Qualification,N,35-54
85241,M,South West Region,Lower Than A Level,Y,0-34
85302,M,London Region,Lower Than A Level,N,35-54
85304,F,London Region,HE Qualification,N,0-34
85325,F,South Region,Lower Than A Level,N,0-34
85874,F,Scotland,HE Qualification,N,35-54
86047,F,Wales,HE Qualification,N,0-34
86291,F,Wales,HE Qualification,N,35-54
86538,M,West Midlands Region,Lower Than A Level,Y,0-34
86669,M,East Midlands Region,A Level or Equivalent,N,0-34
87042,F,North Western Region,Lower Than A Level,N,0-34
87107,F,South West Region,HE Qualification,N,0-34
87152,M,East Anglian Region,Lower Than A Level,Y,0-34
87264,M,South East Region,Lower Than A Level,N,0-34
87322,M,Wales,Lower Than A Level,Y,0-34
87431,M,South East Region,Lower Than A Level,N,35-54
87604,F,West Midlands Region,A Level or Equivalent,N,0-34
87732,M,East Midlands Region,A Level or Equivalent,N,35-54
87929,F,London Region,A Level or Equivalent,N,0-34
88340,F,Wales,Lower Than A Level,Y,0-34
88439,F,East Anglian Region,HE Qualification,N,0-34
88490,M,Scotland,Post Graduate Qualification,N,35-54
88568,M,North Western Region,HE Qualification,N,35-54
88580,F,London Region,Lower Than A Level,N,0-34
88758,M,North Region,Post Graduate Qualification,N,35-54
88781,M,South East Region,A Level or Equivalent,N,0-34
88910,F,North Western Region,Lower Than A Level,N,0-34
88957,M,South East Region,Lower Than A Level,N,0-34
89051,M,North Western Region,A Level or Equivalent,Y,35-54
89092,F,Wales,Lower Than A Level,N,0-34
89188,F,South Region,A Level or Equivalent,Y,0-34
89545,M,South Region,HE Qualification,N,0-34
89727,F,Wales,A Level or Equivalent,N,0-34
89778,M,South East Region,A Level or Equivalent,N,0-34
89850,F,South Region,HE Qualification,N,0-34
89895,M,Yorkshire Region,Lower Than A Level,N,0-34
89904,M,Wales,Lower Than A Level,N,35-54
90243,F,Wales,HE Qualification,N,35-54
90361,F,Wales,HE Qualification,N,35-54
90537,F,Scotland,A Level or Equivalent,Y,0-34
90651,M,South Region,A Level or Equivalent,N,35-54
90836,M,West Midlands Region,A Level or Equivalent,Y,0-34
90901,M,South Region,HE Qualification,N,35-54
90979,F,East Anglian Region,HE Qualification,N,35-54
91040,F,West Midlands Region,Lower Than A Level,N,0-34
91041,F,Yorkshire Region,Lower Than A Level,N,0-34
91164,M,London Region,HE Qualification,Y,35-54
91265,M,North Western Region,HE Qualification,N,0-34
91322,F,Yorkshire Region,A Level or Equivalent,N,35-54
91354,M,Ireland,A Level or Equivalent,Y,0-34
91470,F,East Anglian Region,A Level or Equivalent,N,0-34
91629,M,Wales,A Level or Equivalent,Y,0-34
91801,M,Yorkshire Region,Lower Than A Level,N,35-54
92103,F,West Midlands Region,A Level or Equivalent,N,0-34
92166,M,South East Region,HE Qualification,N,35-54
92274,F,East Anglian Region,Lower Than A Level,N,0-34
92312,M,Wales,Lower Than A Level,N,0-34
92341,F,North Western Region,Lower Than A Level,N,0-34
92391,F,East Anglian Region,A Level or Equivalent,N,35-54
92775,F,North Region,Lower Than A Level,Y,0-34
92832,F,East Anglian Region,A Level or Equivalent,N,0-34
92947,F,Wales,HE Qualification,N,35-54
92993,F,East Anglian Region,Lower Than A Level,N,0-34
93925,F,East Anglian Region,Lower Than A Level,N,0-34
94484,M,West Midlands Region,Lower Than A Level,Y,35-54
94616,F,South Region,Lower Than A Level,N,0-34
94749,M,Wales,Lower Than A Level,N,0-34
94923,F,Scotland,Lower Than A Level,N,0-34
94961,M,South Region,Lower Than A Level,N,35-54
94964,F,South West Region,Lower Than A Level,N,0-34
94978,M,North Region,Post Graduate Qualification,N,35-54
95356,F,Scotland,HE Qualification,N,0-34
95746,M,East Anglian Region,A Level or Equivalent,N,0-34
