id_site,code_module,code_presentation,activity_type,week_from,week_to
527209,FFF,2013B,subpage,,
527210,FFF,2013B,subpage,,
527211,FFF,2013B,subpage,,
527212,FFF,2013B,subpage,,
527213,FFF,2013B,subpage,,
527214,FFF,2013B,subpage,,
527215,FFF,2013B,subpage,,
527216,FFF,2013B,subpage,,
527217,FFF,2013B,subpage,,
527218,FFF,2013B,subpage,1.0,1.0
527219,FFF,2013B,subpage,,
527221,FFF,2013B,subpage,,
527222,FFF,2013B,subpage,,
527223,FFF,2013B,subpage,,
527224,FFF,2013B,subpage,,
527225,FFF,2013B,subpage,,
527228,FFF,2013B,subpage,,
527230,FFF,2013B,subpage,,
527231,FFF,2013B,subpage,,
527232,FFF,2013B,url,,
527233,FFF,2013B,url,,
527234,FFF,2013B,url,,
527236,FFF,2013B,url,,
527237,FFF,2013B,url,,
527238,FFF,2013B,url,,
527239,FFF,2013B,url,,
527240,FFF,2013B,url,,
527241,FFF,2013B,url,,
527242,FFF,2013B,url,,
527243,FFF,2013B,url,,
527244,FFF,2013B,url,,
527245,FFF,2013B,url,,
527246,FFF,2013B,url,,
527247,FFF,2013B,url,,
527248,FFF,2013B,url,,
527249,FFF,2013B,url,,
527250,FFF,2013B,url,,
527251,FFF,2013B,url,,
527252,FFF,2013B,url,,
527253,FFF,2013B,url,,
527254,FFF,2013B,url,,
527255,FFF,2013B,url,,
527256,FFF,2013B,url,,
527257,FFF,2013B,url,,
527258,FFF,2013B,url,,
527259,FFF,2013B,url,,
527260,FFF,2013B,url,,
527261,FFF,2013B,url,,
527262,FFF,2013B,url,,
527263,FFF,2013B,url,,
527264,FFF,2013B,url,,
527265,FFF,2013B,url,,
527266,FFF,2013B,url,,
527267,FFF,2013B,url,,
527268,FFF,2013B,url,,
527269,FFF,2013B,url,,
527270,FFF,2013B,url,,
527271,FFF,2013B,url,,
527272,FFF,2013B,url,,
527273,FFF,2013B,url,,
527274,FFF,2013B,url,,
527275,FFF,2013B,url,,
527276,FFF,2013B,url,,
527277,FFF,2013B,url,,
527278,FFF,2013B,url,,
527279,FFF,2013B,url,,
527280,FFF,2013B,url,,
527281,FFF,2013B,url,,
527282,FFF,2013B,url,,
527283,FFF,2013B,url,,
527284,FFF,2013B,url,,
527285,FFF,2013B,url,,
527286,FFF,2013B,url,,
527287,FFF,2013B,url,,
527288,FFF,2013B,url,,
527289,FFF,2013B,url,,
527290,FFF,2013B,url,,
527291,FFF,2013B,url,,
527292,FFF,2013B,url,,
527293,FFF,2013B,url,,
527294,FFF,2013B,url,,
527295,FFF,2013B,url,,
527296,FFF,2013B,url,,
527297,FFF,2013B,url,,
527298,FFF,2013B,url,,
527299,FFF,2013B,url,,
527300,FFF,2013B,url,,
527301,FFF,2013B,url,,
527302,FFF,2013B,url,,
527303,FFF,2013B,url,,
527304,FFF,2013B,url,,
527305,FFF,2013B,url,,
527306,FFF,2013B,url,,
527307,FFF,2013B,url,,
527308,FFF,2013B,url,,
527309,FFF,2013B,url,,
527310,FFF,2013B,url,,
527311,FFF,2013B,url,,
527312,FFF,2013B,url,,
527313,FFF,2013B,url,,
527314,FFF,2013B,url,,
527315,FFF,2013B,url,,
527316,FFF,2013B,url,,
527317,FFF,2013B,url,,
527318,FFF,2013B,url,,
527319,FFF,2013B,url,,
527320,FFF,2013B,url,,
527321,FFF,2013B,url,,
527322,FFF,2013B,url,,
527323,FFF,2013B,url,,
527324,FFF,2013B,url,,
527325,FFF,2013B,url,,
527326,FFF,2013B,url,,
527327,FFF,2013B,url,,
527328,FFF,2013B,url,,
527329,FFF,2013B,url,,
527330,FFF,2013B,url,,
527331,FFF,2013B,url,,
527332,FFF,2013B,url,,
527333,FFF,2013B,url,,
527334,FFF,2013B,url,,
527335,FFF,2013B,url,,
527336,FFF,2013B,url,,
527338,FFF,2013B,url,,
527340,FFF,2013B,url,,
527341,FFF,2013B,url,,
527342,FFF,2013B,url,,
527343,FFF,2013B,url,,
527344,FFF,2013B,url,,
527345,FFF,2013B,url,,
527346,FFF,2013B,url,,
527348,FFF,2013B,url,,
527349,FFF,2013B,url,,
527350,FFF,2013B,url,1.0,1.0
527351,FFF,2013B,url,1.0,1.0
527352,FFF,2013B,url,1.0,1.0
527353,FFF,2013B,url,1.0,1.0
527354,FFF,2013B,url,1.0,1.0
527355,FFF,2013B,url,1.0,1.0
527356,FFF,2013B,url,2.0,2.0
527357,FFF,2013B,url,2.0,2.0
527358,FFF,2013B,url,3.0,3.0
527359,FFF,2013B,url,3.0,3.0
527360,FFF,2013B,url,3.0,3.0
527362,FFF,2013B,resource,,
527363,FFF,2013B,resource,4.0,4.0
527364,FFF,2013B,resource,,
527365,FFF,2013B,resource,,
527366,FFF,2013B,resource,,
527367,FFF,2013B,resource,,
527368,FFF,2013B,resource,,
527369,FFF,2013B,resource,,
527370,FFF,2013B,resource,,
527371,FFF,2013B,resource,,
527372,FFF,2013B,resource,,
527374,FFF,2013B,resource,,
527375,FFF,2013B,resource,,
527376,FFF,2013B,resource,,
527377,FFF,2013B,resource,,
527378,FFF,2013B,resource,,
527379,FFF,2013B,resource,,
527380,FFF,2013B,resource,,
527381,FFF,2013B,resource,,
527382,FFF,2013B,resource,,
527383,FFF,2013B,resource,,
527384,FFF,2013B,resource,,
527385,FFF,2013B,resource,,
527386,FFF,2013B,resource,,
527388,FFF,2013B,resource,,
527389,FFF,2013B,resource,,
527390,FFF,2013B,resource,,
527391,FFF,2013B,resource,,
527392,FFF,2013B,resource,,
527393,FFF,2013B,resource,,
527394,FFF,2013B,resource,,
527395,FFF,2013B,resource,,
527396,FFF,2013B,resource,,
527397,FFF,2013B,resource,,
527398,FFF,2013B,resource,,
527399,FFF,2013B,resource,,
527400,FFF,2013B,resource,,
527401,FFF,2013B,resource,,
527402,FFF,2013B,resource,,
527403,FFF,2013B,resource,,
527404,FFF,2013B,resource,,
527405,FFF,2013B,resource,,
527406,FFF,2013B,resource,,
527407,FFF,2013B,resource,,
527410,FFF,2013B,resource,,
527411,FFF,2013B,resource,,
527412,FFF,2013B,resource,,
527413,FFF,2013B,resource,,
527414,FFF,2013B,resource,,
527415,FFF,2013B,resource,,
527416,FFF,2013B,resource,,
527417,FFF,2013B,resource,,
527418,FFF,2013B,resource,,
527419,FFF,2013B,resource,,
527420,FFF,2013B,resource,,
527421,FFF,2013B,resource,,
527422,FFF,2013B,resource,,
527423,FFF,2013B,resource,,
527424,FFF,2013B,resource,,
527425,FFF,2013B,resource,,
527426,FFF,2013B,resource,,
527427,FFF,2013B,resource,,
527428,FFF,2013B,resource,,
527429,FFF,2013B,resource,,
527430,FFF,2013B,resource,,
527431,FFF,2013B,resource,,
527432,FFF,2013B,resource,,
527433,FFF,2013B,resource,,
527434,FFF,2013B,resource,,
527436,FFF,2013B,resource,,
527437,FFF,2013B,resource,,
527438,FFF,2013B,resource,,
527439,FFF,2013B,resource,,
527440,FFF,2013B,resource,,
527441,FFF,2013B,resource,,
527442,FFF,2013B,resource,,
527443,FFF,2013B,resource,,
527444,FFF,2013B,resource,,
527446,FFF,2013B,resource,,
527447,FFF,2013B,resource,,
527448,FFF,2013B,resource,,
527450,FFF,2013B,resource,,
527451,FFF,2013B,resource,,
527452,FFF,2013B,resource,,
527453,FFF,2013B,resource,,
527454,FFF,2013B,resource,,
527455,FFF,2013B,resource,,
527456,FFF,2013B,resource,,
527457,FFF,2013B,resource,,
527458,FFF,2013B,resource,,
527459,FFF,2013B,resource,,
527460,FFF,2013B,resource,,
527461,FFF,2013B,resource,,
527462,FFF,2013B,resource,,
527463,FFF,2013B,resource,,
527464,FFF,2013B,resource,,
527465,FFF,2013B,resource,,
527466,FFF,2013B,resource,,
527467,FFF,2013B,resource,,
527468,FFF,2013B,resource,,
527469,FFF,2013B,resource,4.0,4.0
527470,FFF,2013B,resource,,
527471,FFF,2013B,resource,,
527472,FFF,2013B,resource,,
527473,FFF,2013B,resource,,
527474,FFF,2013B,resource,,
527475,FFF,2013B,resource,,
527476,FFF,2013B,resource,,
527477,FFF,2013B,resource,,
527478,FFF,2013B,resource,,
527479,FFF,2013B,resource,,
527480,FFF,2013B,resource,,
527481,FFF,2013B,resource,,
527482,FFF,2013B,resource,,
527483,FFF,2013B,resource,,
527484,FFF,2013B,resource,,
527485,FFF,2013B,resource,,
527486,FFF,2013B,resource,,
527487,FFF,2013B,resource,,
527488,FFF,2013B,resource,,
527489,FFF,2013B,resource,,
527490,FFF,2013B,resource,,
527491,FFF,2013B,resource,,
527492,FFF,2013B,resource,,
527493,FFF,2013B,resource,,
527494,FFF,2013B,resource,,
527495,FFF,2013B,resource,,
527496,FFF,2013B,resource,,
527497,FFF,2013B,resource,,
527499,FFF,2013B,dualpane,,
527501,FFF,2013B,dualpane,,
527502,FFF,2013B,dualpane,,
527503,FFF,2013B,dualpane,,
527504,FFF,2013B,dualpane,,
527505,FFF,2013B,dualpane,,
527506,FFF,2013B,ouelluminate,,
527507,FFF,2013B,ouelluminate,,
527508,FFF,2013B,ouelluminate,,
527509,FFF,2013B,ouelluminate,,
527510,FFF,2013B,ouelluminate,,
527511,FFF,2013B,ouelluminate,,
527512,FFF,2013B,ouelluminate,,
527513,FFF,2013B,ouelluminate,,
527514,FFF,2013B,ouelluminate,,
527515,FFF,2013B,ouelluminate,,
527516,FFF,2013B,ouelluminate,,
527517,FFF,2013B,ouelluminate,,
527518,FFF,2013B,ouelluminate,,
527519,FFF,2013B,ouelluminate,,
527520,FFF,2013B,ouelluminate,,
527521,FFF,2013B,ouelluminate,,
527523,FFF,2013B,dataplus,,
527524,FFF,2013B,dataplus,,
527525,FFF,2013B,dataplus,,
527526,FFF,2013B,dataplus,,
527527,FFF,2013B,dataplus,,
542792,BBB,2013B,forumng,,
542794,BBB,2013B,forumng,,
542795,BBB,2013B,forumng,,
542796,BBB,2013B,forumng,,
542797,BBB,2013B,forumng,,
542798,BBB,2013B,forumng,,
542799,BBB,2013B,forumng,,
542800,BBB,2013B,forumng,,
542802,BBB,2013B,forumng,,
542803,BBB,2013B,forumng,,
542804,BBB,2013B,forumng,,
542805,BBB,2013B,forumng,,
542806,BBB,2013B,forumng,,
542807,BBB,2013B,forumng,,
542808,BBB,2013B,forumng,,
542810,BBB,2013B,forumng,,
542811,BBB,2013B,forumng,,
542812,BBB,2013B,glossary,,
542864,BBB,2013B,homepage,,
542889,BBB,2013B,oucontent,,
542891,BBB,2013B,quiz,,
542892,BBB,2013B,quiz,,
542893,BBB,2013B,quiz,,
542894,BBB,2013B,quiz,,
542895,BBB,2013B,quiz,,
543020,BBB,2013B,url,,
543021,BBB,2013B,url,,
543022,BBB,2013B,url,,
543023,BBB,2013B,url,,
543024,BBB,2013B,url,,
543025,BBB,2013B,url,,
543026,BBB,2013B,url,,
543027,BBB,2013B,url,,
543028,BBB,2013B,url,,
543029,BBB,2013B,url,,
543031,BBB,2013B,url,,
543032,BBB,2013B,url,,
543036,BBB,2013B,url,,
543037,BBB,2013B,url,,
543038,BBB,2013B,url,,
543039,BBB,2013B,subpage,,
543040,BBB,2013B,subpage,,
543041,BBB,2013B,subpage,,
543042,BBB,2013B,subpage,,
543043,BBB,2013B,subpage,,
543044,BBB,2013B,subpage,,
543045,BBB,2013B,subpage,,
543046,BBB,2013B,subpage,,
543047,BBB,2013B,subpage,,
543048,BBB,2013B,subpage,,
543049,BBB,2013B,subpage,,
543050,BBB,2013B,subpage,,
543051,BBB,2013B,subpage,,
543052,BBB,2013B,subpage,,
543053,BBB,2013B,subpage,,
543054,BBB,2013B,subpage,,
543055,BBB,2013B,subpage,,
543056,BBB,2013B,subpage,,
543057,BBB,2013B,subpage,,
543058,BBB,2013B,subpage,,
543059,BBB,2013B,subpage,,
543060,BBB,2013B,subpage,,
543061,BBB,2013B,subpage,,
543062,BBB,2013B,subpage,,
543063,BBB,2013B,subpage,,
543065,BBB,2013B,subpage,,
543066,BBB,2013B,subpage,,
543067,BBB,2013B,subpage,,
543068,BBB,2013B,subpage,,
543069,BBB,2013B,subpage,,
543071,BBB,2013B,subpage,,
543072,BBB,2013B,subpage,,
543073,BBB,2013B,subpage,,
543074,BBB,2013B,subpage,,
543075,BBB,2013B,subpage,,
543076,BBB,2013B,subpage,,
543077,BBB,2013B,subpage,,
543078,BBB,2013B,resource,,
543079,BBB,2013B,resource,,
543080,BBB,2013B,resource,,
543081,BBB,2013B,resource,,
543082,BBB,2013B,resource,,
543083,BBB,2013B,resource,,
543084,BBB,2013B,resource,,
543085,BBB,2013B,resource,,
543086,BBB,2013B,resource,,
543087,BBB,2013B,resource,,
543088,BBB,2013B,resource,,
543089,BBB,2013B,resource,,
543090,BBB,2013B,resource,,
543091,BBB,2013B,resource,,
543092,BBB,2013B,resource,,
543093,BBB,2013B,resource,,
543094,BBB,2013B,resource,,
543095,BBB,2013B,resource,,
543096,BBB,2013B,resource,,
543097,BBB,2013B,resource,,
543098,BBB,2013B,resource,,
543099,BBB,2013B,resource,,
543100,BBB,2013B,resource,,
543101,BBB,2013B,resource,,
543102,BBB,2013B,resource,,
543103,BBB,2013B,resource,,
543104,BBB,2013B,resource,,
543105,BBB,2013B,resource,,
543106,BBB,2013B,resource,,
543107,BBB,2013B,resource,,
543108,BBB,2013B,resource,,
543109,BBB,2013B,resource,,
543110,BBB,2013B,resource,,
543111,BBB,2013B,resource,,
543112,BBB,2013B,resource,,
543113,BBB,2013B,resource,,
543114,BBB,2013B,resource,,
543115,BBB,2013B,resource,,
543116,BBB,2013B,resource,,
543117,BBB,2013B,resource,,
543118,BBB,2013B,resource,,
543119,BBB,2013B,resource,,
543120,BBB,2013B,resource,,
543121,BBB,2013B,resource,,
543122,BBB,2013B,resource,,
543123,BBB,2013B,resource,,
543124,BBB,2013B,resource,,
543125,BBB,2013B,resource,,
543126,BBB,2013B,resource,,
543127,BBB,2013B,resource,,
543128,BBB,2013B,resource,,
543129,BBB,2013B,resource,,
543130,BBB,2013B,resource,,
543131,BBB,2013B,resource,,
543132,BBB,2013B,resource,,
543133,BBB,2013B,resource,,
543134,BBB,2013B,resource,,
543135,BBB,2013B,resource,,
543136,BBB,2013B,resource,,
543137,BBB,2013B,resource,,
543138,BBB,2013B,resource,,
543139,BBB,2013B,resource,,
543140,BBB,2013B,resource,,
543141,BBB,2013B,resource,,
543142,BBB,2013B,resource,,
543143,BBB,2013B,resource,,
543144,BBB,2013B,resource,,
543145,BBB,2013B,resource,,
543146,BBB,2013B,resource,,
543147,BBB,2013B,resource,,
543148,BBB,2013B,resource,,
543149,BBB,2013B,resource,,
543150,BBB,2013B,resource,,
543151,BBB,2013B,resource,,
543152,BBB,2013B,resource,,
543153,BBB,2013B,resource,,
543154,BBB,2013B,resource,,
543155,BBB,2013B,resource,,
543156,BBB,2013B,resource,,
543157,BBB,2013B,resource,,
543158,BBB,2013B,resource,,
543159,BBB,2013B,resource,,
543160,BBB,2013B,resource,,
543161,BBB,2013B,resource,,
543162,BBB,2013B,resource,,
543163,BBB,2013B,resource,,
543164,BBB,2013B,resource,,
543165,BBB,2013B,resource,,
543166,BBB,2013B,resource,,
543167,BBB,2013B,resource,,
543168,BBB,2013B,resource,,
543169,BBB,2013B,resource,,
543170,BBB,2013B,resource,,
543171,BBB,2013B,resource,,
543172,BBB,2013B,resource,,
543173,BBB,2013B,resource,,
543174,BBB,2013B,resource,,
543175,BBB,2013B,resource,,
543176,BBB,2013B,resource,,
543177,BBB,2013B,resource,,
543178,BBB,2013B,resource,,
543179,BBB,2013B,resource,,
543180,BBB,2013B,resource,,
543181,BBB,2013B,resource,,
543182,BBB,2013B,resource,,
543183,BBB,2013B,resource,,
543184,BBB,2013B,resource,,
543185,BBB,2013B,resource,,
543186,BBB,2013B,resource,,
543187,BBB,2013B,resource,,
543188,BBB,2013B,resource,,
543189,BBB,2013B,resource,,
543190,BBB,2013B,resource,,
543191,BBB,2013B,resource,,
543192,BBB,2013B,resource,,
543193,BBB,2013B,resource,,
543194,BBB,2013B,resource,,
543195,BBB,2013B,resource,,
543196,BBB,2013B,resource,,
543197,BBB,2013B,resource,,
543198,BBB,2013B,resource,,
543199,BBB,2013B,resource,,
543200,BBB,2013B,resource,,
543201,BBB,2013B,resource,,
543202,BBB,2013B,resource,,
543203,BBB,2013B,resource,,
543204,BBB,2013B,resource,,
543205,BBB,2013B,resource,,
543206,BBB,2013B,resource,,
543207,BBB,2013B,resource,,
543208,BBB,2013B,resource,,
543209,BBB,2013B,resource,,
543210,BBB,2013B,resource,,
543211,BBB,2013B,resource,,
543212,BBB,2013B,resource,,
543213,BBB,2013B,resource,,
543214,BBB,2013B,resource,,
543215,BBB,2013B,resource,,
543217,BBB,2013B,resource,,
543218,BBB,2013B,resource,,
543220,BBB,2013B,resource,,
543221,BBB,2013B,resource,,
543222,BBB,2013B,resource,,
543223,BBB,2013B,resource,,
543224,BBB,2013B,resource,,
543225,BBB,2013B,resource,,
543226,BBB,2013B,resource,,
543227,BBB,2013B,resource,,
543228,BBB,2013B,resource,,
543229,BBB,2013B,resource,,
543230,BBB,2013B,resource,,
543231,BBB,2013B,resource,,
543232,BBB,2013B,resource,,
543233,BBB,2013B,resource,,
543234,BBB,2013B,resource,,
543235,BBB,2013B,resource,,
543236,BBB,2013B,resource,,
543237,BBB,2013B,resource,,
543238,BBB,2013B,resource,,
543239,BBB,2013B,resource,,
543240,BBB,2013B,resource,,
543241,BBB,2013B,resource,,
543242,BBB,2013B,resource,,
543243,BBB,2013B,resource,,
543244,BBB,2013B,resource,,
543245,BBB,2013B,resource,,
543246,BBB,2013B,resource,,
543247,BBB,2013B,resource,,
543248,BBB,2013B,resource,,
543249,BBB,2013B,resource,,
543250,BBB,2013B,resource,,
543251,BBB,2013B,resource,,
543252,BBB,2013B,resource,,
543253,BBB,2013B,resource,,
543254,BBB,2013B,resource,,
543255,BBB,2013B,resource,,
543256,BBB,2013B,resource,,
543257,BBB,2013B,resource,,
543258,BBB,2013B,resource,,
543259,BBB,2013B,resource,,
543260,BBB,2013B,resource,,
543261,BBB,2013B,resource,,
543262,BBB,2013B,resource,,
543263,BBB,2013B,resource,,
543264,BBB,2013B,resource,,
543265,BBB,2013B,resource,,
543266,BBB,2013B,resource,,
543267,BBB,2013B,resource,,
543268,BBB,2013B,resource,,
543269,BBB,2013B,resource,,
543270,BBB,2013B,resource,,
543271,BBB,2013B,resource,,
543272,BBB,2013B,resource,,
543273,BBB,2013B,resource,,
543274,BBB,2013B,resource,,
543275,BBB,2013B,resource,,
543276,BBB,2013B,resource,,
543277,BBB,2013B,resource,,
543278,BBB,2013B,resource,,
543279,BBB,2013B,resource,,
543280,BBB,2013B,resource,,
543281,BBB,2013B,resource,,
543282,BBB,2013B,resource,,
543283,BBB,2013B,resource,,
543284,BBB,2013B,resource,,
543285,BBB,2013B,resource,,
543286,BBB,2013B,resource,,
543287,BBB,2013B,resource,,
543288,BBB,2013B,resource,,
543289,BBB,2013B,resource,,
543290,BBB,2013B,resource,,
543291,BBB,2013B,resource,,
543292,BBB,2013B,resource,,
543293,BBB,2013B,resource,,
543294,BBB,2013B,resource,,
543295,BBB,2013B,resource,,
543296,BBB,2013B,resource,,
543297,BBB,2013B,resource,,
543298,BBB,2013B,resource,,
543299,BBB,2013B,resource,,
543300,BBB,2013B,resource,,
543301,BBB,2013B,resource,,
543302,BBB,2013B,resource,,
543303,BBB,2013B,resource,,
543304,BBB,2013B,resource,,
543305,BBB,2013B,resource,,
543306,BBB,2013B,resource,,
543307,BBB,2013B,resource,,
543308,BBB,2013B,resource,,
543309,BBB,2013B,resource,,
543310,BBB,2013B,resource,,
543311,BBB,2013B,resource,,
543312,BBB,2013B,resource,,
543313,BBB,2013B,resource,,
543314,BBB,2013B,resource,,
543315,BBB,2013B,resource,,
543322,BBB,2013B,sharedsubpage,,
543324,BBB,2013B,ouelluminate,,
546614,AAA,2013J,homepage,,
546644,AAA,2013J,forumng,,
546645,AAA,2013J,forumng,,
546647,AAA,2013J,forumng,,
546648,AAA,2013J,forumng,,
546649,AAA,2013J,forumng,,
546650,AAA,2013J,forumng,,
546651,AAA,2013J,forumng,,
546652,AAA,2013J,forumng,,
546653,AAA,2013J,forumng,,
546654,AAA,2013J,forumng,,
546655,AAA,2013J,forumng,,
546656,AAA,2013J,forumng,,
546657,AAA,2013J,forumng,,
546658,AAA,2013J,forumng,,
546659,AAA,2013J,forumng,,
